frontend_api_id,http_method,frontend_path,backend_api_ids,match_status,frontend_source
FEAPI-0373,POST,/oa/signTask/{taskId}/notification/retry,BEAPI-0403,exact-candidate,erp-ui/src/api/oa/signTask.js:54
FEAPI-0374,POST,/oa/signTask/{taskId}/cancel,BEAPI-0404,exact-candidate,erp-ui/src/api/oa/signTask.js:62
FEAPI-0375,GET,/oa/todo/summary,BEAPI-0406,exact-candidate,erp-ui/src/api/oa/todo.js:5
FEAPI-0376,GET,/oa/todo/list,BEAPI-0407,exact-candidate,erp-ui/src/api/oa/todo.js:13
FEAPI-0377,GET,/system/config/list,BEAPI-0474,exact-candidate,erp-ui/src/api/system/config.js:6
FEAPI-0378,GET,/system/config/{configId},BEAPI-0476,exact-candidate,erp-ui/src/api/system/config.js:15
FEAPI-0379,GET,/system/config/configKey/{configKey},BEAPI-0477,exact-candidate,erp-ui/src/api/system/config.js:23
FEAPI-0380,POST,/system/config,BEAPI-0479,exact-candidate,erp-ui/src/api/system/config.js:31
FEAPI-0381,PUT,/system/config,BEAPI-0480,exact-candidate,erp-ui/src/api/system/config.js:40
FEAPI-0382,DELETE,/system/config/{configId},BEAPI-0481,exact-candidate,erp-ui/src/api/system/config.js:49
FEAPI-0383,DELETE,/system/config/refreshCache,BEAPI-0482,exact-candidate,erp-ui/src/api/system/config.js:57
FEAPI-0384,GET,/system/dept/list,BEAPI-0483,exact-candidate,erp-ui/src/api/system/dept.js:6
FEAPI-0385,GET,/system/dept/leader-options,BEAPI-0484,exact-candidate,erp-ui/src/api/system/dept.js:15
